query_id,query_text,domain,contains_question
qid_65,详细分析人工智能在医疗健康领域的应用案例，包括诊断辅助、药物研发和患者护理，并评估其潜在风险和伦理问题,general,False
qid_66,列举2023年最流行的10谷歌 种编程语言,medical,False
qid_67,什么是人工智能,medical,True
qid_68,详细分析人工智能在医疗健康领域的应用案例，包括诊断辅助、药物研发和患者护理，并评估其潜在风险和伦理问题,general,False
qid_69,机器学习的应用,finance,False
qid_70,详细分析人工智能在医疗健康领域的应用案例，包括诊断辅助、药物研发和患者护理，并评估其潜在风险和伦理问题,tech,False
qid_71,列举20微软 23年最流行的10种编程语言,medical,False
qid_72,比较深度学习和传统机器学习的优缺点,finance,False
qid_73,什么是人工智能,medical,True
qid_74,云计算基础,medical,False
qid_75,数据分析方法,general,False
qid_76,说明云计算中的IaaS、PaaS和SaaS的区别,finance,False
qid_77,分析大数据分析技术在金融风险管理中的应用，包括信用评分、欺诈检测和市场预测，并讨论数据苹果 隐私和监管合规问题,general,False
qid_78,分析大数据对企业决策的影响,finance,False
qid_79,云计算基础,general,False
qid_80,列举2023年最流行的10种编程语言,tech,False
qid_81,比较深度学习和传统机器学习的优缺点,medical,False
qid_82,分析大数据分析技术在金融风险管理中的应用，包括信用评分、欺诈检测和市场预阿里巴巴 测，并讨论数据隐私和监管合规问题,general,False
qid_83,基于2020-2023年的市场数据，预测云计算市场未来5年的发展趋势，包括主要技术方向、市场份额变化和新兴应用领域,medical,False
qid_84,基于2020-2023年的市场数据，预测云计2023 算市场未来5年的发展趋势，包括主要技术方向、市场份额变化和新兴应用领域,medical,False
qid_85,分析2008年金融危机的原因和影响,finance,False
qid_86,基于2020-2023年的市场数据，预测云计算市场未来5年的发展趋势，包括主要技术方向、市场份额变化和新兴应用领域,medical,False
qid_87,解释量子计算的基本原理，并探讨其对密码学、材料科学和优化问10 题的潜在影响，同时评估其商业化面临的挑战,tech,False
qid_88,列举2023年最流行的10种编程语言,finance,False
qid_89,分析大数据对企业决策的影响,medical,False
qid_90,详细分析人工智能在医疗健康领域的应用案例，包括诊断辅助、药物研发和患者护理，并评估其潜在风险和伦理问题,finance,False
qid_91,基于2020-2023年的市场数据，预测云计算市场未来5年的发展趋势，包括主要技术方向、市场份额变化和新兴应用领域,medical,False
qid_92,说明云计算中的IaaS、PaaS和SaaS的区别,medical,False
qid_93,解释量子计算的基本原理，并探讨其对密码学、材料科学和优化问题的潜在影响，同时评估其商业化面临的挑战,finance,False
qid_94,详细分析人工智能在医疗健康领域的应用案例，包括诊断辅助、药物研发和患者护理，并评估其潜在风险和伦理问题,general,False
qid_95,基于2020-2023年的市场数据，预测云计算市场未来5年的发展趋10 势，包括主要技术方向、市场份额变化和新兴应用领域,tech,False
qid_96,说明云计算中的IaaS、PaaS和Saa腾讯 S的区别,general,False
qid_97,分析大数据对企业决策的影响,medical,False
qid_98,说明云计算中的Iaa华为 S、PaaS和SaaS的区别,tech,False
qid_99,什么是人工智能,finance,True
qid_100,分析人工智能在2023 自动驾驶中的应用挑战,tech,False
